Syllable/Combination,汉字
au3|51,㕭㘬㘭㜜㜩㠗㥿䐿䜒䫨䮯傲噢坳垇墺奡奥奧嫯岙岰嶅嶴慠懊扷抝拗擙敖柪澆澳燠薁謷軪鏊隩驁骜鷔鿫
bau1A|55,佨剥勹包孢枹炮煲笣胞苞苴葆蕔裒褒襃闁鮑齙龅
bau1B|35,㵡㿺䈏䥤䨌䨔䪨嫑砲窇薄鉋雹
bau2|214,㙅㻄䎂䭋䯽䳈䳰䴐保呆堡堢媬宝宲寚寳寶怉珤緥葆藵褓賲靌飹飽饱駂鳵鴇鸨
bau3|51,㙸㫧㲒䤖儤刨勽嘐嚗報忁怉报抱暴曓曝瀑爆菢虣蚫袌袍豹趵鉋鑤铇靤骲髱鮑鲍
cau1A|55,㿷䎭撡操澡糙造
cau1B|35,㜖㯥䄚䏆䐬傮嘈嶆慒曹曺槽漕艚蓸螬褿鏪鐰
cau2|214,䒑屮愺慅懆艸艹草騲
cau3|51,䒃慥漕肏襙造鄵鼜
chau1A|55,䜈䟁䫸䫿䰫䳂剿劋勦吵嘮弨怊抄摷樔欩焯紹綽绰訬超鈔钞
chau1B|35,䄻䰫䲃勦嘲巢巣晁朝樔漅潮濤牊窲罺謿轈鄛鼂鼌
chau2|214,㥮㶤㷅䎐䏚吵巐抄槱炒焣煼眧粆訬謅超趫鈔麨
chau3|51,䮓仦仯吵巢抄晁縐耖觘超趠
dau1A|55,㧅刀刂叨啁忉惆朷氘舠虭裯釖魛鱽
dau1B|35,叨捯
dau2|214,㠀㨶㿒倒嘄壔导導岛島嶋嶌嶹忑捣捯搗擣槝祷禂禱菿蹈道陦隝隯鳥
dau3|51,䆃䊭䌦䧂佻倒儔到受噵導帱幬悼敦椡檤檮洮濤焘燾瓙盗盜稲稻箌絩纛翢翿艔菿薵衜衟軇道醻陶
gau1A|55,㤒䆁䓘咎槁槔槹橰櫜滜獋皋皐睪睾篙糕羔羙膏臯韟餻高髙鷎鷱鼛
gau2|214,㚏㚖㵆㾸夰搞暠杲槀槁檺浩稁稾稿筶縞缟菒蒿藁藳鎬镐
gau3|51,勂吿告峼祮祰禞稾筶膏誥诰郜鋯锆高
hau1A|55,嚆茠蒿薅薧鎒
hau1B|35,㠙㩝㬔䝥䧫儫号呺唬嗥嘷噑嚎壕椃毜毫濠獆獋獔皋竓籇膠號虠蚝蠔諕譹豪貉
hau2|214,好郝
hau3|51,㘪㙱㚪㝀㞻㬶䒵䚽䝞䧚䪽䯫傐号哠好妞恏悎昊昦晧暠暤暭曍浩淏滈澔灏灝皓皜皞皡皥睾秏翯耗聕薃藃號鄗鎬镐顥颢鰝
kau1A|55,䯌尻嵪訄髛
kau2|214,㼥䯪丂拷撟攷栲洘烤熇考薧
kau3|51,㸆䎋䐧䯪搞槀槁洘焅熇犒稾銬铐靠鮳鯌鲓
lau1A|55,捞撈粩
lau1B|35,㗦㞠㟉㟹㨓䃕䜎䜮䝁䲏僗劳労勞哰唠嘐嘮嫪崂嶗憥憦朥浶潦澇牢痨癆磱窂簩蟧轑醪鐒铹顟髝鿲
lau2|214,㧯㺐䇭䕩䝤䳓䵏佬僚咾姥嫽恅栳橑潦狫獠珯硓老耂荖蓼蛯轑銠铑鮱
lau3|51,䜎僗勞唠嗠嘮嫪憦撩橯涝潦澇烙牢癆絡络耢耮落躼軂酪
mau1A|55,猫貓
mau1B|35,㝟㮘㲠䅦䭷侔兞務堥嵍旄枆毛氂渵牦犛猫矛緢罞耗茅茆蛑蝥蟊貓軞酕鉾錨锚髦髳鶜
mau2|214,㚹㧇乮冇卯夘峁戼昴泖笷茆蓩鉚铆
mau3|51,㒵㒻㡌㧌㪞㫯㴘㺺㿞䀤䋃䓮䡚䫉冃冐冒勖務媢帽愗懋描旄暓柕楙毛毣毷牟瑁皃眊瞀秏耄耗芼茂萺蝐袤覒貇貌貿贸鄚鄮霿
nau1A|55,孬
nau1B|35,㞪㺀䃩䛝䴃呶夒峱嶩巎巙怓憹挠摎撓橈猱獶獿硇碙蛲蝚蟯詉譊鐃铙
nau2|214,㑎㛴㺁㺒䐉䜀䜧匘垴堖嫐恼悩惱憹獶獿瑙碯脑脳腦膠
nau3|51,婥淖澆腝腦臑鐃閙闹鬧
pau1A|55,㯱㲏䫽抛抱拋摽泡穮脟脬萢藨鮑
pau1B|35,㚿㯡䛌䩝刨包匏咆垉庖泡炮炰爮狍瓟胞苞蚫袌袍褜謈趵跑軳鉋鞄颮麃麅
pau2|214,跑
pau3|51,㘐㯡䶌嚗奅泡炮犥疱皰砲礟礮窌胞袌麭
rau1B|35,㹛娆嬈桡橈犪荛蕘襓饒饶
rau2|214,㑱娆嬈扰擾繚繞绕隢
rau3|51,撓穘繞绕蟯遶
sau1A|55,㥰㺐㺑䑹哨慅懆掻搔橾溞縿繅繰缫缲臊螦鄵颾騒騷骚鰠鰺鱢鳋
sau2|214,㛮䕅埽嫂扫掃騷
sau3|51,㲧㿋䐹哨埽懆扫掃搔梢氉燥瘙矂臊鐰髞
shau1A|55,䈰䈾䔠娋弰捎旓梢溲烧焼燒稍筲綃艄莦萷蕱蛸裢輎鞘韒颵髾鮹
shau1B|35,㲈㸛佋勺招杓柖玿芍苕韶
shau2|214,㪢䒚䔠少捎搜髾
shau3|51,㷹䏴䙼䬰佋削劭卲召哨娋少捎柖梢潲燒燿睄稍笤紹綤绍艄袑邵髾
tau1A|55,㣠㫦㹗䀞䀺䈱䑬䤾叨夲夵嫍幍弢慆抭掏搯槄涛涭滔濤焘燾瑫絛綢縚縧绦詜謟轁鞱韜韬頫飸饀饕
tau1B|35,㲈䄻䛌䛬䬞匋咷啕姚挑掏桃梼檮洮淘祹籌綯绹萄蜪裪跳迯逃醄鋾錭陶鞀鞉饀駣騊鼗
tau2|214,䚯䵚套討讨
tau3|51,㚐套韜
zau1A|55,㡟㯥㯾㷮䜊傮槽糟蹧遭醩
zau1B|35,䥣凿鑿
zau2|214,䖣䗢䲃早枣栆棗澡璅璪繅繰薻藻蚤
zau3|51,䜊唕唣喿噪慥梍灶煰燥皁皂窖竃竈簉艁草謲譟趮躁造鑿
zhau1A|55,䜈䞴佋啁嘲妱巶招昭晁朝炤皽盄着窼著詔釗釽鉊鍣钊駋鳭鼂
zhau1B|35,着著
zhau2|214,㕚䈃䝖找沼炤爪爫瑵菬蚤
zhau3|51,㑿㡽㨄㷖㷹㹿䃍䈇䍜䍮䑲䰫佻兆召啅垗旐昭曌枛桃棹櫂淖濯炤照燳狣瞾笊箌罩羄肁肇肈詔诏赵趙鮡
zhau5,罀
e1A|55,䋪匼妸妿娿婀屙猗疴痾阿
e1B|35,㧴㼂䄉䕏䖸䚰䩹䱮䳗䳘佮俄偽叱吪哦囮娥峨峩涐珴皒睋硪磀莪蒍蛤蛾訛誐譌讹迗鈋鋨锇頟額额騀魤鰪鵝鵞鹅
e2|214,㫊厄噁妸娿婀恶惡枙椏玀砈誐閜阿頋騀鵈
e3|51,㓵㔩㖾㗁㗉㛕㟧㠋㣂㦍㧖㩵㩽㮙㷈䆓䑥䑪䔾䙳䛖䛩䜙䝈䞩䣞䫷䳬亞侉偔僫匎卾厄呃呝咢咹啈啊啐啞噩囐垩埡堊堨堮姶娾媕屵岋峉崿庵廅恶悪惡愕戹扼搕搤搹擜曷枙櫮歞歹歺洝湂琧痷砐砨砵硆礘胺腭苊萼蕚蘁蚅蝁覨詻諤讍谔豟軛軶輵轭遌遏遻邑鄂鈪鍔鑩锷閼阏阨阸隘頞顎颚餓餩饿鬲魥鰐鱷鳄鴳鶚鹗齃齶齾
e5,呃
ce3|51,㥽㨲㩍䇲䈟䊂䔴䜺侧側冊册厕厠墄嫧幘廁恻惻憡拺敇栅测測畟笧策筞筴箣簎粣荝萗萴蓛赦齰
che1A|55,伡俥唓砗硨莗蛼車车
che2|214,㨋㵔䋲䞣䰩偖奲尺扯撦
che3|51,㒤㔭㤴㥉㬚㱌㳧㾝㿭䁤䊞䒆䚢䛸䜠䞣䧪勶呫喢坼宅屮彻徹拆掣揊摰撤斥池澈烢烲爡瞮硩聅詀謵迠頙
de1A|55,嘚
de1B|35,㝵㤫㥀㥁㯖䙷䙸嘚得徳德恴悳惪棏淂登鍀锝陟
de5,地底得的脦
ge1A|55,㓣㤎䔅䣬䬣仡割可咯哥圪屹彁戈戓戨扢搁擖擱格歌滒牫牱犵疙紇纥肐胳菏袼謌鉻鉿鎶閘閤饹鴐鴚鴿鸽鿔
ge1B|35,㖵㗆㠷㦴㪾㭘㵧㷴䅥䈓䐙䗘䘁䛿䨣䩐䩡䪂䪺䫦䰛佫佮假匌呄嗝嘅噶塥愅挌搁搿擱敋杚格槅櫊浩滆猲獦砝秴胳膈臈臵茖葛蛒蛤裓觡詥諽輵轕鉀鎑鎘镉閣閤阁隔革鞈鞷韐韚頜颌騔骼髂鬲鮥鮯鰪鵅
ge2|214,个個各合哿嗰盖舸葛蓋魺
ge3|51,䧄个介個各吤硌箇虼鉻铬
he1A|55,㰤㰰㿣䏜䶎呵哈喝嗬抲欱苛荷蠚訶诃
he1B|35,㔠㕡㗿㥺㧁㪃㪉㭘㭱㮝㮫㹇㿥䃒䅂䒩䕣䞦䢔䫘䮤䳚䶅何劾合咊和咼哈哬啝喛嗑噈姀害峆惒挌揭敆曷柇核楁毼河洽涸渮渴澕熆犵狢皬盇盉盍盒礉禾秴篕籺粭紇繳纥翮荷菏萂藿蚵蝎螛覈訸詥貈貉輅轄郃鉌鑉閡闔阂阖鞨頜颌餄餲饸魺鲄鶡鹖麧齕龁龢
he2|214,㪋
he3|51,㚘㬞㵑㷎㾑䐧䓇䓼䚂䯨䳽何佫吓呼和哧喝嗃嚇垎壑寉愒抲曷格焃煂熇燺爀猲癋硅碋穒翯荷藃袔褐謞賀贺赫隺霍靍靎靏鬩鵠鶡鶮鶴鸖鹤齃
ke1A|55,㸯䂺䈖䌀䐦䯊匼呵嗑坷嵙搕柯棵榼樖牁犐珂疴痾瞌砢磕礚科稞窠窼簻胢苛萪薖蝌趷軻轲醘鈳鉿錒钶頦顆颏颗髁
ke1B|35,咳壳揢殼翗頦颏
ke2|214,㞹㪙㪡㪼㵣䡷䫘可坷岢嵑嶱敤棵毼渇渴炣盍碣磆磕轲顆
ke3|51,㕉㕎㝓㤩㥛䆟䓇䙐䶗克刻剋勀勊可喀嗑堁娔客尅峇恪悈愘愙歁氪溘濭硞碦礊科緙缂艐蚵袔課课錁锞騍骒龕
ke5,喀
le1A|55,嘞肋
le3|51,㔹㖀㦡㿭乐仂勒叻忇扐楽樂氻泐牞玏砳竻簕肋艻阞韷鰳鳓
le5,了餎饹
me1A|55,嚒
me5,么嚜末没濹癦麼麽
ne1B|35,哪那
ne3|51,㕯䅞䎪䭆呐抐疒疔眲訥讷那
ne5,呐呢
re1B|35,捼若
re2|214,喏惹若
re3|51,㳧偌渃热焫熱若蹃
se1A|55,閪
se3|51,㒊㥶㮦㱇㴔㻭㾊䉢䊂䔼䨛啬嗇塞寨廧愬懎拺擌栜槭歮歰泣洓涩渋溹漬澀澁濇濏瀒琗瑟璱瘷穑穡穯粣繬色薔虩譅轖鉍銫鎍鎩鏼铯闟雭飋
she1A|55,奓奢檨猞畬畲賒賖赊輋
she1B|35,㓭㵃䞌佘折抴揲碟磼舌虵蛇蛞蛥邪鉈鍦闍阇鞨
she2|214,䬷捨舍
she3|51,㢵㤴㴇䀅䀹䄕䜓䠶䤮䬦厍厙射弽慑慴懾拾挕摂摄摵攝欇歙涉涻渉滠灄睫社聶舍舎葉蔎蠂設设赦韘騇麝
te3|51,㥂㧹匿式忑忒慝特犆職脦螣蟘貣貸鋱铽
te5,脦
ze1B|35,㖽㚖㟙㣱㤞㥽㳻㺓䇥䔼䕉䕪䯔䰹䶡䶦则則咋唶啧嘖嫧帻幘択择措擇柞樍歵沢泎泽溭澤灂皟睪瞔矠礋笮箦簀耫舴葃蔶蘀蠌襗諎謫謮責賾责赜迮飵鰂鸅齚齰
ze3|51,㳁䟄仄侧側夨崱庂廁捑昃昗汄稄稷
ze5,伬
zhe1A|55,㸙嗻嫬庶折蜇螫謶遮
zhe1B|35,㙷㞏㡇㢎㪿㭙㭯㯙㯰㰅㸞䁋䁤䇽䊞䎲䐑䐲䓆䖳䜆䝃䝕䮰乇仛厇哲啠喆嘀嚞囁埑悊慴慹扸折摺攝晢晣杔棏樀歽矺砓磔籷粍耷聑聶虴蛰蜇蟄袩襵詟謫謺讁讋谪軼輒輙轍辄辙適銸陬馲鮿鷙
zhe2|214,乽啫堵禇者褚褶襵赭鍺锗
zhe3|51,㝂䂞䏳䗪䠦䩾䵭嗻斥柘樜浙淛潪蔗蟅这這鷓鹧
zhe5,嗻着著
ei1A|55,欸誒
ei1B|35,欸誒诶
ei2|214,欸誒
ei3|51,欸誒
bei1A|55,㗗㽡䎱䚜䣙䥯䱝俾卑埤悲揹杯柸桮棓椑波盃碑箄背萆藣襬諀錍陂鞞鵯鹎
bei2|214,㤳䋳北悖鉳
bei3|51,㔗㔨㛝㣁㪍㫲㭭㰆㶔㷶㸢㸬㸽㻗㾱䔒䟛䟺䡶䩀䰽俻倍偝偹備僃北哱垻备孛怫悖惫愂憊拔昁杮梖棑棓焙牬犕狈狽珼琲碚禙糒背苝茀菩萯葡蓓蛽蜚被褙誖貝贝跋軰輩辈邶郥鄁鋇鐴鐾钡鞁鞴骳
bei5,呗唄臂
dei1A|55,嘚
dei2|214,得
fei1A|55,㫵䤵䩁匪啡奜妃婓婔扉暃渄猆緋绯菲蜚裶霏非靟飛飝飞餥馡騑騛鯡鲱
fei1B|35,䈈棐淝痱肥腓萉蜰蟦裴賁
fei2|214,㥱䕁䨽匪奜悱斐朏棐榧痱篚翡胇胐菲蕜蜚誹诽非
fei3|51,㔗㩌㵒㹃䆏䉬䍨䑔䒈䕠䚨䛍䟛䠊䤵䨾䯋䰁俷剕厞吠墢屝废廃廢怫拂昲曊杮柹橃橨櫠沸濷犻狒疿痱癈砩祓笰紼肺胇胏芾茀茇菲萉蕟蕡蜰襏費费鐨镄陫靅髴鯡鼣鼥
gei2|214,給给
hei1A|55,㱄嗨嘿潶黑黒
kei1A|55,刻剋尅
lei1A|55,勒擂
lei1B|35,㒍㔣㗊㠥㵢㹎䍣䐯䨓儡儽壘壨婁嫘擂樏檑櫑欙瓃畾盧磥礌礧累縲纍纝缧罍羸蔂蘲虆轠鐳鑘镭雷靁鱩鼺
lei2|214,㒦㙼㠥㵽㶟㼍㿔䃬䉂䐯䛶䣂䴎傫儡儽厽垒塁壘樏櫐櫑洡漯灅瘣癗矋磊磥礌礧礨累絫纍耒腂蕌蕾藟蘽蠝誄讄诔郲鑘鑸鸓
lei3|51,㑍㒦㲕㴃䉪䒹䢮䣦䮑儡擂攂檑泪洡涙淚礌礧祱禷类累纇纍肋蘱酹銇錑雷頛頪類颣
lei5,勒嘞
mei1B|35,㙁㺳䊈䍙䜸䤂䱕呅坆坶堳塺娒媒嵋徾攗枚某栂梅楣楳槑沒没湄湈溦煤猸玫珻瑂眉睂矀禖穈糜脄脢腜膴苺莓葿蘪郿酶鋂鎇镅霉鶥鹛黴
mei2|214,䆀䓺䜸凂媄媺嬍嵄挴楣毎每浼渼燘美羙躾鎂镁黣
mei3|51,㭑䀛䆊䉋䰨䰪䵢味嚜墨妹媒媚寐抺旀昧櫗氼沬煝痗眊眛睸祙篃蝞袂谜跊韎鬽魅黴
nei2|214,㼏䲎哪娞婑浽脮腇那餒餧馁鮾鯘
nei3|51,㐻㨅內内氝那錗
pei1A|55,㚰㾦䯱呸啡垺妚怌抷柸肧胚衃醅
pei1B|35,㟝㯁䏽䣙䪹䫊倍坏培婄掊棓毰裴裵賠赔錇锫阫陪陫駍
pei2|214,俖琣
pei3|51,㤄㧩㳈㾦䊃䟺䩛伂佩啡妃姵嶏帔攈斾旆昢柭棑沛浿淠犻珮肺艴茇茷蓜蜚轡辔配霈馷
shei1B|35,誰谁
tei1A|55,忒
zei1B|35,戝蠈賊贼鯽鰂鱡鲗
zhei3|51,这這
en1A|55,奀恩煾蒽
en2|214,䅰峎
en3|51,䬶䭓䭡摁饐
ben1A|55,倴喯奔本栟泍渀犇蟦賁贲逩錛鐼锛
ben2|214,㡷㮺夲奙本楍畚翉苯
ben3|51,㤓㨧㮥䬱体倴坋坌夯奔捹撪桳泍渀炃燌獖笨軬輽逩
cen1A|55,参參嵾穇篸
cen1B|35,㞤㞥䅾䤁䨙䫈䲋岑梣汵涔硶笒
chen1A|55,㥲㲀䀼䏹䐜䑣䠳侲嗔抻捵棽琛瘨瞋綝縝肜胂諃謓賝郴
chen1B|35,㕴㫳㴴㽸䆣䒞䜟䟢䢅䢈䢻䣅䤟填塵宸尘帘忱愖揨敐晨曟枕桭梣棧樄橙沈沉湛煁瘎臣茞莀莐蔯薼螴訦諶谌趁跈軙辰迧鈂陈陳霃鷐麎
chen2|214,䫈䫖堪墋夦湛眈硶碜磣謲贂趻踸醦鍖
chen3|51,㧱䞋儭嚫榇櫬瀋疢疹称稱衬襯讖谶趁趂闖齓齔龀
chen5,伧傖
den3|51,㩐扥扽
fen1A|55,㤋㬟䭻兝兺分匪吩哛帉愍扮敃昐朆棻棼氛汾玢砏竕紛纷翂芬衯訜躮酚鈖錀雰餴饙
fen1B|35,㷊㸮㿎䩿䫞䴅分坆坟墳妢岎幩朌枌梤棼橨汾濆炃焚燌燓燔獖盼羒羵肦葐蒶蕡蚠蚡豮豶賁轒鐼隫頒馚馩魵鳻黂鼖鼢
fen2|214,㥹扮粉黺
fen3|51,㖹㱵㿎䆏份偾僨分噴坋墳奋奔奮幩弅忿愤憤拚棼橨瀵焚獖瞓秎粪糞膹賁魵鱝鲼
gen1A|55,根跟
gen1B|35,哏
gen2|214,䫀艮
gen3|51,㫔㮓亘亙揯搄痕艮茛
hen1A|55,噷
hen1B|35,㯊拫掀痕艮鞎
hen2|214,䓳佷哏很狠詪
hen3|51,恨
ken2|214,啃垦墾恳懇狠肎肯肻豤貇錹頎齦龈
ken3|51,㸧垠掯珢硍裉褃
len3|51,啉
men1A|55,悶椚闷
men1B|35,㡈㨺䊟䪸䫒亹们們怋扪捫汶玧璊瞞穈菛虋鍆钔門閅门
men3|51,㥃㦖㱪㵍們呇悗悶惛懑懣暪殙滿焖燜瞞闷鞔
men5,们們
nen3|51,㜛㯎㶧媆嫩嫰恁枘腝臑
pen1A|55,㖹喷噴歕濆
pen1B|35,汾湓瓫盆葐衯
pen2|214,呠翸
pen3|51,吩喯喷噴湓
ren1B|35,䌾䚾䛘人亻仁任儿壬妊忈忎朲秂芢鈓銋魜鵀
ren2|214,㣼㲽䭃忍栠栣棯涊秹稔綛荏荵菍躵銋
ren3|51,㠴㶵㸾䀔䀼䇮䋕䏕仞仭任刃刄妊姙屻岃忍恁扨杒梕牣祍紉紝絍纫纴肕腍葚衽袵訒認认讱軔轫釰靭靱韌韧飪餁饪
sen1A|55,㜗傪摻森椮槮滲襂
sen2|214,洒
shen1A|55,㑗㕥㜪㮱䅸䯂伸侁信兟参參呻堔妽姺娠嫀屾峷幓扟抻搷敒曑柛棽氠深燊珅甡甧申眒砷神穼籶籸糁糝紳綝绅罙胂莘葠蓡蔘薓裑訷詵诜身鉮震駪鯓鯵鰺鲹鵢
shen1B|35,䰠什榊甚神鉮鰰
shen2|214,㚞㚨㰂㶒㾕吲哂嘇婶嬸审宷審弞抌曋棯槮沈淰渖瀋瞫矤矧覾訠諗讅谂谉邥頣魫鯅
shen3|51,㥲㰮㵕䆦䫖䰼侺愼慎昚椹涁渗湛滲甚瘆瘮眘瞋祳罧肾胂脤腎葚蜃蜄鋠黮
zen1A|55,㻸撍
zen2|214,怎
zen3|51,䫈僭譖譛谮
zen5,囎
zhen1A|55,㖘㘰㲀䂦䃌䈯侦侲偵唇坫嫃寊帧帪振揕搸斟枮栕桢桭椹楨榛槇樼殝浈湞溱滇潧澵獉珍珎瑧甄眞真砧碪祯禎禛稹箴籈胗臻葴蒖蓁薽貞贞趁轃遉酙針鉁錱鍖鍼鎮针靕鱵鼎
zhen2|214,㐱㪛㱽䂦䂧䑐䠴䡩䪴䪾䫬姫嫃屒弫戡抮振昣枕槇沴畛疹眕稹竧紾縝縥缜聄胗萙袗裖診诊趁軫轸辴駗鬒黰
zhen3|51,㓄㣀㮳㯢㴨㼉䀕䊶䏖䝩䟴䨯䫃䲴䳲侲唇圳塦填慎挋振揕敶朕栚桭榐瑱甄甽眹紖絼纼蜄誫謓賑赈酖鈂鉁鋴鎭鎮镇阵陣陳震鮝鴆鸩黮黱
eng1A|55,鞥
beng1A|55,㔙㧍㱶䑫䨜伻傍傰嗙嘣奟崩嵭平抨搒旁榜痭祊絣綳繃绷閍
beng1B|35,甭
beng2|214,㑟䋽䙀䩬䳞俸唪埄埲漨琣琫繃绷菶鞛
beng3|51,㷯㼞䨻䭰堋塴泵熢甏繃绷蚌跰蹦迸逬錋鏰镚
beng5,揼
ceng1A|55,噌曽
ceng1B|35,㬝䁬䉕僧增层層嶒曾橧竲繒蹭鄫驓
ceng3|51,㣒蹭
cheng1A|55,㓌㛵䁎䕝䗀䞓䟓䟫偁僜净噌憆搶摚撐撑朾柽棦棱槍樘橕橖檉泟浾湞爯牚琤瑲睖瞠矃秤称稱穪竀緽罉虰蛏蟶赪赬蹚鎗鏳鏿鐣鐺铛阷靗頳饓
cheng1B|35,㞼㨃㲂㼩䁎䄇䆑䆵䇸䔲䚘䧕䫆䮪丞乗乘倀傖呈嗆城埕埩堘塍塖娍宬峸嵊徵惩憕懲成承挰掁搶撜晟朾枨棖椉橙檙氶洆浧淨溗澂澄瀓珵珹畻盛盯碀程窚筬絾脀脭荿裎觕誠诚趟郕郢酲醒鋮铖騬鯎
cheng2|214,侱呈庱徎悜睈裎踜逞騁骋
cheng3|51,㐼敞爯牚秤称稱竀黨
deng1A|55,㔁㲪䔲䙞䳾僜噔墱嬁灯燈璒登磴竳簦艠覴豋蹬鐙
deng2|214,䒭戥朩等
deng3|51,䠬䮴僜凳墱嶝憕橙櫈澄瞪磴蹬邓鄧鐙镫隥
feng1A|55,㐽㒥㕫㛔㜂㠦䀱䒠丰仹偑僼凨凬凮埄妦寷封峯峰崶方枫桻楓檒沣沨灃炐烽熢犎猦琒疯瘋盽砜碸篈肨莑葑蘴蚌蜂蠭豊豐鄷酆鋒鎽鏠锋闏霻靊風飌风麷
feng1B|35,㦀㵯䏎䙜䩼冯堸夆捀摓浲渢溄漨綘縫缝舽艂逄逢馮
feng2|214,䟪䩬唪泛覂諷讽風
feng3|51,㡝俸凤奉捧桻湗焨煈甮縫缝葑諷讽賵赗風鳯鳳鴌鵬
geng1A|55,㪅㹴㹹䎴䢚亢刯庚更椩浭焿畊絙絚緪縆羮羹耕菮賡赓鶊鹒
geng2|214,㾘䋁䌄哽埂峺挭梗硬綆绠耿莄邢郠頸颈骾鯁鲠
geng3|51,㪅䱍䱎䱭䱴亘亙堩恆暅更緪
heng1A|55,亨哼啈悙涥脝訇
heng1B|35,㔰㶇䬖䬝䯒佷姮恆恒桁横橫烆狟珩胻蘅行衡鑅鴴鵆鸻
heng3|51,啈堼悙横
keng1A|55,㧶㰢䀴䃘䡩䡰劥吭坈坑奟妔挳揁摼殸牼硁硍硎硜硻脛誙踁鉺銵鍞鏗铿阬
keng2|214,䡰忐硻
leng1A|55,㘄棱
leng1B|35,䉄䬋塄崚棱楞碐稜薐踜輘
leng2|214,冷
leng3|51,㱥䮚倰堎愣棱楞睖稜踜輘
meng1A|55,擝矇蒙
meng1B|35,㙹㠓㩚䀄䁫䇇䈍䉚䑃䑅䒐䗈䙦䙩䟥䤓䥰䰒䲛䴌䴿䵆儚冡夢嫇尨幪庬懜懞曚朦橗檬氋氓溕濛獴甍甿盟瞑瞢矇矒礞艨莔萌蒙蕄蘉虻蝱蟊鄳鄸鋂雺霧霿靀顭饛髳鯍鸏鹲黽鼆
meng2|214,䁅䏵勐幪懜懞懵猛獴瓾矇艋蒙蜢蟒蠓錳锰鯭鱦黽黾鼆
meng3|51,㜴㝱䁅䒐䓝䠢䥂夢夣孟懜懵明朚梦盟瞢蜢霥
meng5,掹
neng1B|35,㴰䏻竜而耐能
neng2|214,螚
neng3|51,㲌
peng1A|55,㛁㠮㥊㧸䍬䥋䦕亨匉嘭堋弸彭怦恲抨旁梈泙洴滂漰澎烹砰硑硼磞絣胓苹荓軯輧逬閛駍
peng1B|35,㛔㥊㱶䄘䡫䧛䰃䴶倗傍傰堋塜塳庄弸彭憉挷搒朋棚椖榜槰樥淜漨澎熢痭硼稝竼篣篷纄膨芃莑蓬蘕蟚蟛輣逢錋鑝韸韼騯髼鬅鬔鵬鹏
peng2|214,䣙倗剻捧摓淎皏
peng3|51,㼞䰃掽椪砰碰膨蓬踫閛
reng1A|55,戎扔
reng1B|35,㭁㺱䄧䚮仍礽穰耳艿辸陾
reng3|51,扔艿芿
seng1A|55,䒏僧鬙
sheng1A|55,㱡䲼䴤升呏声姓斘昇曻枡栍殅殸泩湦焺牲狌珄生甥竔笙聲胜苼鉎鍟阩陞陹鵿鼪
sheng1B|35,䱆憴渑澠縄繩绳譝鱦
sheng2|214,㗂㮐㼳㾪䁞䚇䪿偗冼渻省眚箵
sheng3|51,㹌㼩䎴䞉丞乘剩剰勝圣垩墭娍媵嵊晟晠椉榺橳琞甸盛繩聖胜蕂貹賸
teng1A|55,䮴熥膯鼟
teng1B|35,䒅䕨䠮䲍䲢僜儯幐滕漛疼痋籐籘縢腾藤虅螣誊謄邆駦騰驣鰧
teng3|51,霯
zeng1A|55,䎖増增憎曾橧熷璔矰磳縡繒缯罾譄鄫鱛
zeng2|214,㽪鬷
zeng3|51,䙢䰝䵴增甑綜繒综缯贈赠鋥锃
zheng1A|55,㬹䆸䇰䋊䋫䍵䟓䱢丁丞争佂偵凧埥埩姃媜峥崝崢嶒征徰徴徵怔挣掙揁政朾正炡烝爭狰猙症癥眐睁睜禎筝箏篜糽綪聇脀蒸諍貞趟踭鉦錚钲铮鬇鮏鯖鲭鿇
zheng2|214,䡕丞愸承抍拯掟撜整晸氶糽
zheng3|51,㡠㡧㱏㽀䂻䈣䛫䥌䥭䦛䦶倀塣奠帧幀徎怔憕承挣政敞正氶浧爭町症瞠脀証諍證证诤趟郑鄭铮鴊
er1B|35,㖇㧫䋩䎟䎠䮘侕儿児兒咡唲峏杒栭洏濡粫而耏聏胹腝臑荋袻輀輭轜陑陾隭髵鮞鲕鴯鸸
er2|214,㚷㢽䋙䌺厼嬭尒尓尔栮毦洱爾珥耳薾趰迩邇鉺铒餌饵駬
er3|51,㒃㛅䎶䏪䣵二佴刵咡弍弐樲衈誀貮貳贰鉺髶
er5,儿
yi1A|55,㙠㛄㥋㳖㾨䃜䉗䒾䔱䚷䧇䪰䫑一乊伊依倚億医吚咿噫壱壹夁嫛嬄崎弌悘意懿戲揖椅檹欹毉洢渏漪犄猗瑿畩祎禕稦繄蛜衣衤褘詑譩辷郼醫銥铱鷖鹥黝黟黳
yi1B|35,㐌㚦㚶㝖㞔㥴㦾㮛㰘㹫㺿㼢䄬䇵䈕䔟䞅䣡䧅䩟䬁䬮䮊䱌䲑䴊一乁也仪佗侇儀儗冝匜台听咦圯坨夷姨姬媐它宐宜宧寲峓嶬嶷巸异弬彛彜彝彞彵怠怡恞戺扅拸搋暆杝柂栘桋椬椸沂沶焉熙熪狋狏珆瓵疑痍眙礙移箷簃籎維羠羡義耛胰荑萓蛇蛦螔衪袘觺訑詑詒誃謻譺讉诒貤貽贻跠迆迤迱迻遗遺酏釶鉇鉈銕鏔阤頉頤頥顊颐飴饴鮧鴺鸃
