CH	UCODE	CRZJ_1	INIT	FINL	TONE	DESC	DESC_CRZJ_1
悟	U+609F	m1B|21		m	1B|21		
悠	U+60A0	jeu1B|21	j	eu	1B|21		
悡	U+60A1	leai1B|21	l	eai	1B|21		
悢	U+60A2	leong3B|22	l	eong	3B|22		
悢	U+60A2	long2B|13	l	ong	2B|13		
患	U+60A3	wan3B|22	w	an	3B|22		
悤	U+60A4	cung1A|55	c	ung	1A|55		
悥	U+60A5	ji3A|33	j	i	3A|33		
悦	U+60A6	jyut4B|2	j	yut	4B|2		
悧	U+60A7	leai1B|21	l	eai	1B|21		
您	U+60A8	neai2B|13	n	eai	2B|13		
您	U+60A8	leai2B|13	l	eai	2B|13		
悩	U+60A9	nou2B|13	n	ou	2B|13		
悩	U+60A9	lou2B|13	l	ou	2B|13		
悪	U+60AA	ok4Ab|3		ok	4Ab|3		
悪	U+60AA	ngok4Ab|3	ng	ok	4Ab|3		
悫	U+60AB	kok4Ab|3	k	ok	4Ab|3		
悬	U+60AC	jyun1B|21	j	yun	1B|21		
悭	U+60AD	han1A|55	h	an	1A|55		
悮	U+60AE	ng3B|22		ng	3B|22		
悮	U+60AE	m3B|22		m	3B|22		
悯	U+60AF	men2B|13	m	en	2B|13		
悰	U+60B0	cung1B|21	c	ung	1B|21		
悱	U+60B1	feai2A|35	f	eai	2A|35		
悲	U+60B2	beai1A|55	b	eai	1A|55		
悳	U+60B3	dek4Aa|5	d	ek	4Aa|5		
悴	U+60B4	soei3B|22	s	oei	3B|22		
悴	U+60B4	soei2B|13	s	oei	2B|13		
悵	U+60B5	ceong3A|33	c	eong	3A|33		
悵	U+60B5	zeong3A|33	z	eong	3A|33		
悶	U+60B6	mun3B|22	m	un	3B|22		
悷	U+60B7	lei3B|22	l	ei	3B|22		
悷	U+60B7	loei3B|22	l	oei	3B|22		
悸	U+60B8	gwei3A|33	gw	ei	3A|33		
悹	U+60B9	gun3A|33	g	un	3A|33		
悹	U+60B9	gwun3A|33	gw	un	3A|33		
悺	U+60BA	gun3A|33	g	un	3A|33		
悺	U+60BA	gwun3A|33	gw	un	3A|33		
悻	U+60BB	heng3B|22	h	eng	3B|22		
悻	U+60BB	heng2B|13	h	eng	2B|13		
悼	U+60BC	dou3B|22	d	ou	3B|22		
悽	U+60BD	cei1A|55	c	ei	1A|55		
悾	U+60BE	hung1A|55	h	ung	1A|55		
悿	U+60BF	tim2A|35	t	im	2A|35		
惀	U+60C0	loen1B|21	l	oen	1B|21		
惁	U+60C1	sik4Aa|5	s	ik	4Aa|5		
惂	U+60C2	hem2A|35	h	em	2A|35		
惃	U+60C3	gwen2A|35	gw	en	2A|35		
惄	U+60C4	nik4B|2	n	ik	4B|2		
惄	U+60C4	lik4B|2	l	ik	4B|2		
情	U+60C5	cing1B|21	c	ing	1B|21		
情	U+60C5	cing2A|35	c	ing	2A|35		
惆	U+60C6	ceu1B|21	c	eu	1B|21		
惇	U+60C7	doen1A|55	d	oen	1A|55		
惈	U+60C8	gwo2A|35	gw	o	2A|35		
惈	U+60C8	go2A|35	g	o	2A|35		
惉	U+60C9	zim1A|55	z	im	1A|55		
惊	U+60CA	ging1A|55	g	ing	1A|55		
惊	U+60CA	geang1A|55	g	eang	1A|55		
惋	U+60CB	wun2A|35	w	un	2A|35		
惋	U+60CB	jyun2A|35	j	yun	2A|35		
惌	U+60CC	jyun1A|55	j	yun	1A|55		
惌	U+60CC	jyun3A|33	j	yun	3A|33		
惍	U+60CD	gem1A|55	g	em	1A|55		
惎	U+60CE	geai3B|22	g	eai	3B|22		
惏	U+60CF	lem1B|21	l	em	1B|21		
惏	U+60CF	lam1B|21	l	am	1B|21		
惐	U+60D0	wik4B|2	w	ik	4B|2		
惑	U+60D1	wak4B|2	w	ak	4B|2		
惒	U+60D2	wo1B|21	w	o	1B|21		
惓	U+60D3	kyun1B|21	k	yun	1B|21		
惓	U+60D3	gyun3A|33	g	yun	3A|33		
惔	U+60D4	tam1B|21	t	am	1B|21		
惔	U+60D4	dam3B|22	d	am	3B|22		
惕	U+60D5	tik4Aa|5	t	ik	4Aa|5		
惖	U+60D6	tik4Aa|5	t	ik	4Aa|5		
惗	U+60D7	nem2A|35	n	em	2A|35		
惗	U+60D7	lem2A|35	l	em	2A|35		
惘	U+60D8	mong2B|13	m	ong	2B|13		
惙	U+60D9	zyut4Ab|3	z	yut	4Ab|3		
惚	U+60DA	fet4Aa|5	f	et	4Aa|5		
惛	U+60DB	fen1A|55	f	en	1A|55		
惜	U+60DC	sik4Aa|5	s	ik	4Aa|5		
惜	U+60DC	seak4Ab|3	s	eak	4Ab|3		
惝	U+60DD	cong2A|35	c	ong	2A|35		
惝	U+60DD	tong2A|35	t	ong	2A|35		
惞	U+60DE	jen1A|55	j	en	1A|55		
惟	U+60DF	wei1B|21	w	ei	1B|21		
惠	U+60E0	wei3B|22	w	ei	3B|22		
惡	U+60E1	ok4Ab|3		ok	4Ab|3		
惡	U+60E1	ngok4Ab|3	ng	ok	4Ab|3		
惡	U+60E1	wu3A|33	w	u	3A|33		
惡	U+60E1	wu1A|55	w	u	1A|55		
惢	U+60E2	so2A|35	s	o	2A|35		
惣	U+60E3	zung2A|35	z	ung	2A|35		
惤	U+60E4	gin1A|55	g	in	1A|55		
惥	U+60E5	jung2A|35	j	ung	2A|35		
惦	U+60E6	dim3A|33	d	im	3A|33		
惧	U+60E7	goei3B|22	g	oei	3B|22		
惨	U+60E8	cam2A|35	c	am	2A|35		
惩	U+60E9	cing1B|21	c	ing	1B|21		
惪	U+60EA	dek4Aa|5	d	ek	4Aa|5		
惫	U+60EB	beai3B|22	b	eai	3B|22		
惫	U+60EB	bai3B|22	b	ai	3B|22		
惬	U+60EC	hip4Ab|3	h	ip	4Ab|3		
惬	U+60EC	hip4B|2	h	ip	4B|2		
惭	U+60ED	cam1B|21	c	am	1B|21		
惮	U+60EE	dan3B|22	d	an	3B|22		
惯	U+60EF	gwan3A|33	gw	an	3A|33		
惰	U+60F0	do3B|22	d	o	3B|22		
惱	U+60F1	nou2B|13	n	ou	2B|13		
惱	U+60F1	lou2B|13	l	ou	2B|13		
惲	U+60F2	wen3B|22	w	en	3B|22		
想	U+60F3	seong2A|35	s	eong	2A|35		
惴	U+60F4	zoei3A|33	z	oei	3A|33		
惵	U+60F5	dip4B|2	d	ip	4B|2		
惶	U+60F6	wong1B|21	w	ong	1B|21		
惷	U+60F7	coen2A|35	c	oen	2A|35		
惸	U+60F8	king1B|21	k	ing	1B|21		
惹	U+60F9	jea2B|13	j	ea	2B|13		
惺	U+60FA	sing1A|55	s	ing	1A|55		
惻	U+60FB	cek4Aa|5	c	ek	4Aa|5		
惻	U+60FB	cak4Aa|5	c	ak	4Aa|5		
惼	U+60FC	bin2A|35	b	in	2A|35		
惼	U+60FC	pin2A|35	p	in	2A|35		
惽	U+60FD	fen1A|55	f	en	1A|55		
惽	U+60FD	men2B|13	m	en	2B|13		
惾	U+60FE	zung1A|55	z	ung	1A|55		
惿	U+60FF	tei1B|21	t	ei	1B|21		
愀	U+6100	ciu2A|35	c	iu	2A|35		
愁	U+6101	seu1B|21	s	eu	1B|21		
愂	U+6102	bui3B|22	b	ui	3B|22		
愃	U+6103	syun1A|55	s	yun	1A|55		
愄	U+6104	wui1A|55	w	ui	1A|55		
愅	U+6105	gak4Ab|3	g	ak	4Ab|3		
愆	U+6106	hin1A|55	h	in	1A|55		
愇	U+6107	wei2B|13	w	ei	2B|13		
愈	U+6108	jyu3B|22	j	yu	3B|22		
愉	U+6109	jyu1B|21	j	yu	1B|21		
愉	U+6109	jyu3B|22	j	yu	3B|22		
愉	U+6109	teu1A|55	t	eu	1A|55		
愊	U+610A	bik4Aa|5	b	ik	4Aa|5		
愋	U+610B	hyun1A|55	h	yun	1A|55		
愌	U+610C	wun3B|22	w	un	3B|22		
愍	U+610D	men2B|13	m	en	2B|13		
愎	U+610E	bik4Aa|5	b	ik	4Aa|5		
意	U+610F	ji3A|33	j	i	3A|33		
意	U+610F	ji1A|55	j	i	1A|55		
意	U+610F	ji2A|35	j	i	2A|35		
愐	U+6110	min2B|13	m	in	2B|13		
愑	U+6111	jung2B|13	j	ung	2B|13		
愒	U+6112	koi3A|33	k	oi	3A|33		
愒	U+6112	kei3A|33	k	ei	3A|33		
愒	U+6112	heai3A|33	h	eai	3A|33		
愒	U+6112	hot4Ab|3	h	ot	4Ab|3		
愓	U+6113	dong3B|22	d	ong	3B|22		
愓	U+6113	seong1A|55	s	eong	1A|55		
愔	U+6114	jem1A|55	j	em	1A|55		
愕	U+6115	ngok4B|2	ng	ok	4B|2		
愕	U+6115	ok4B|2		ok	4B|2		
愖	U+6116	sem1B|21	s	em	1B|21		
愗	U+6117	meu3B|22	m	eu	3B|22		
愘	U+6118	kok4Ab|3	k	ok	4Ab|3		
愙	U+6119	kok4Ab|3	k	ok	4Ab|3		
愚	U+611A	jyu1B|21	j	yu	1B|21		
愛	U+611B	oi3A|33		oi	3A|33		
愛	U+611B	ngoi3A|33	ng	oi	3A|33		
愜	U+611C	hip4Ab|3	h	ip	4Ab|3		
愜	U+611C	hip4B|2	h	ip	4B|2		
愝	U+611D	jin2A|35	j	in	2A|35		
愞	U+611E	no3B|22	n	o	3B|22		
愞	U+611E	lo3B|22	l	o	3B|22		
愞	U+611E	jyun2B|13	j	yun	2B|13		
感	U+611F	gem2A|35	g	em	2A|35		
愠	U+6120	wen3A|33	w	en	3A|33		
愡	U+6121	zung2A|35	z	ung	2A|35		
愢	U+6122	soi1A|55	s	oi	1A|55		
愣	U+6123	ling3B|22	l	ing	3B|22		
愣	U+6123	ling1B|21	l	ing	1B|21		
愤	U+6124	fen2B|13	f	en	2B|13		
愥	U+6125	jing1A|55	j	ing	1A|55		
愦	U+6126	kui2A|35	k	ui	2A|35		
愦	U+6126	kwui2A|35	kw	ui	2A|35		
愧	U+6127	kwei2B|13	kw	ei	2B|13		
愧	U+6127	kwei3A|33	kw	ei	3A|33		
愨	U+6128	kok4Ab|3	k	ok	4Ab|3		
愩	U+6129	gung1A|55	g	ung	1A|55		
愪	U+612A	wen1B|21	w	en	1B|21		
愫	U+612B	sou3A|33	s	ou	3A|33		
愬	U+612C	sak4Ab|3	s	ak	4Ab|3		
愬	U+612C	sou3A|33	s	ou	3A|33		
愭	U+612D	keai1B|21	k	eai	1B|21		
愮	U+612E	jiu1B|21	j	iu	1B|21		
愯	U+612F	sung2A|35	s	ung	2A|35		
愰	U+6130	fong2A|35	f	ong	2A|35		
愱	U+6131	zet4B|2	z	et	4B|2		
愲	U+6132	gwet4Aa|5	gw	et	4Aa|5		
愳	U+6133	goei3B|22	g	oei	3B|22		
愴	U+6134	cong3A|33	c	ong	3A|33		
愵	U+6135	nik4B|2	n	ik	4B|2		
愵	U+6135	lik4B|2	l	ik	4B|2		
愶	U+6136	hip4Ab|3	h	ip	4Ab|3		
愷	U+6137	hoi2A|35	h	oi	2A|35		
愸	U+6138	zing2A|35	z	ing	2A|35		
愹	U+6139	jung2B|13	j	ung	2B|13		
愺	U+613A	cou2A|35	c	ou	2A|35		
愻	U+613B	soen3A|33	s	oen	3A|33		
愼	U+613C	sen3B|22	s	en	3B|22		
愽	U+613D	bok4Ab|3	b	ok	4Ab|3		
愾	U+613E	koi3A|33	k	oi	3A|33		
愿	U+613F	jyun3B|22	j	yun	3B|22		
愿	U+613F	jyun2A|35	j	yun	2A|35		
慀	U+6140	hei3B|22	h	ei	3B|22		
慁	U+6141	wen3B|22	w	en	3B|22		
慂	U+6142	jung2A|35	j	ung	2A|35		
慃	U+6143	ong2A|35		ong	2A|35		
慃	U+6143	ngong2A|35	ng	ong	2A|35		
慄	U+6144	loet4B|2	l	oet	4B|2		
慅	U+6145	cou2A|35	c	ou	2A|35		
慅	U+6145	sou1A|55	s	ou	1A|55		
慆	U+6146	tou1A|55	t	ou	1A|55		
慇	U+6147	jen1A|55	j	en	1A|55		
慈	U+6148	ci1B|21	c	i	1B|21		
慉	U+6149	cuk4Aa|5	c	uk	4Aa|5		
慊	U+614A	him3A|33	h	im	3A|33		
慊	U+614A	hip4Ab|3	h	ip	4Ab|3		
慊	U+614A	jim1B|21	j	im	1B|21		
態	U+614B	tai3A|33	t	ai	3A|33		
慌	U+614C	fong1A|55	f	ong	1A|55		
慌	U+614C	fong2A|35	f	ong	2A|35		
慍	U+614D	wen3A|33	w	en	3A|33		
慎	U+614E	sen3B|22	s	en	3B|22		
慏	U+614F	ming2B|13	m	ing	2B|13		
慐	U+6150	gung1A|55	g	ung	1A|55		
慑	U+6151	sip4Ab|3	s	ip	4Ab|3		
慑	U+6151	zip4Ab|3	z	ip	4Ab|3		
慒	U+6152	cung1B|21	c	ung	1B|21		
慓	U+6153	piu3A|33	p	iu	3A|33		
慓	U+6153	piu2B|13	p	iu	2B|13		
慓	U+6153	piu1B|21	p	iu	1B|21		
慔	U+6154	mou3B|22	m	ou	3B|22		
慕	U+6155	mou3B|22	m	ou	3B|22		
慖	U+6156	gwok4Ab|3	gw	ok	4Ab|3		
慖	U+6156	gok4Ab|3	g	ok	4Ab|3		
慗	U+6157	cik4Aa|5	c	ik	4Aa|5		
慘	U+6158	cam2A|35	c	am	2A|35		
慙	U+6159	cam1B|21	c	am	1B|21		
慚	U+615A	cam1B|21	c	am	1B|21		
慛	U+615B	coei1B|21	c	oei	1B|21		
慜	U+615C	men2B|13	m	en	2B|13		
慝	U+615D	tik4Aa|5	t	ik	4Aa|5		
慞	U+615E	zeong1A|55	z	eong	1A|55		
慟	U+615F	dung3B|22	d	ung	3B|22		
慠	U+6160	ngou3B|22	ng	ou	3B|22		
慠	U+6160	ou3B|22		ou	3B|22		
慡	U+6161	song2A|35	s	ong	2A|35		
慢	U+6162	man3B|22	m	an	3B|22		
慢	U+6162	man2A|35	m	an	2A|35		
慣	U+6163	gwan3A|33	gw	an	3A|33		
慤	U+6164	kok4Ab|3	k	ok	4Ab|3		
慥	U+6165	zou3B|22	z	ou	3B|22		
慥	U+6165	cou3A|33	c	ou	3A|33		
慦	U+6166	geu3A|33	g	eu	3A|33		
慧	U+6167	wei3B|22	w	ei	3B|22		
慧	U+6167	wei2A|35	w	ei	2A|35		
慧	U+6167	wei1B|21	w	ei	1B|21		
慧	U+6167	wei3A|33	w	ei	3A|33		
慨	U+6168	koi3A|33	k	oi	3A|33		
慩	U+6169	lin1B|21	l	in	1B|21		
慪	U+616A	eu3A|33		eu	3A|33		
慪	U+616A	ngeu3A|33	ng	eu	3A|33		
慪	U+616A	eu1A|55		eu	1A|55		
慪	U+616A	ngeu1A|55	ng	eu	1A|55		
慫	U+616B	sung2A|35	s	ung	2A|35		
慬	U+616C	ken1B|21	k	en	1B|21		
慭	U+616D	jen3B|22	j	en	3B|22		
慮	U+616E	loei3B|22	l	oei	3B|22		
慯	U+616F	seong1A|55	s	eong	1A|55		
慰	U+6170	wei3A|33	w	ei	3A|33		
慱	U+6171	tyun1B|21	t	yun	1B|21		
慲	U+6172	mun1B|21	m	un	1B|21		
慳	U+6173	han1A|55	h	an	1A|55		
慴	U+6174	sip4Ab|3	s	ip	4Ab|3		
慴	U+6174	zip4Ab|3	z	ip	4Ab|3		
慵	U+6175	jung1B|21	j	ung	1B|21		
慶	U+6176	hing3A|33	h	ing	3A|33		
慷	U+6177	kong2A|35	k	ong	2A|35		
慷	U+6177	hong2A|35	h	ong	2A|35		
慸	U+6178	dei3A|33	d	ei	3A|33		
慹	U+6179	zep4Aa|5	z	ep	4Aa|5		
慹	U+6179	zip4Ab|3	z	ip	4Ab|3		
慺	U+617A	leu1B|21	l	eu	1B|21		
慻	U+617B	gyun3A|33	g	yun	3A|33		
慼	U+617C	cik4Aa|5	c	ik	4Aa|5		
慽	U+617D	cik4Aa|5	c	ik	4Aa|5		
慾	U+617E	juk4B|2	j	uk	4B|2		
慿	U+617F	peng1B|21	p	eng	1B|21		
憀	U+6180	liu1B|21	l	iu	1B|21		
憁	U+6181	zung2A|35	z	ung	2A|35		
憂	U+6182	jeu1A|55	j	eu	1A|55		
憃	U+6183	cung1A|55	c	ung	1A|55		
憃	U+6183	zung1A|55	z	ung	1A|55		
憄	U+6184	zi3A|33	z	i	3A|33		
憅	U+6185	dung3B|22	d	ung	3B|22		
憆	U+6186	cang1A|55	c	ang	1A|55		
憇	U+6187	heai3A|33	h	eai	3A|33		
憈	U+6188	koei1A|55	k	oei	1A|55		
憉	U+6189	pang1B|21	p	ang	1B|21		
憊	U+618A	beai3B|22	b	eai	3B|22		
憊	U+618A	bai3B|22	b	ai	3B|22		
憋	U+618B	bit4Ab|3	b	it	4Ab|3		
憌	U+618C	king1B|21	k	ing	1B|21		
憍	U+618D	giu1A|55	g	iu	1A|55		
憎	U+618E	zeng1A|55	z	eng	1A|55		
憏	U+618F	cei3A|33	c	ei	3A|33		
憏	U+618F	zei3A|33	z	ei	3A|33		
憐	U+6190	lin1B|21	l	in	1B|21		
憑	U+6191	peng1B|21	p	eng	1B|21		
憑	U+6191	peang1A|55	p	eang	1A|55		
憑	U+6191	beng3B|22	b	eng	3B|22		
憒	U+6192	kui2A|35	k	ui	2A|35		
憒	U+6192	kwui2A|35	kw	ui	2A|35		
憓	U+6193	wei3B|22	w	ei	3B|22		
憔	U+6194	ciu1B|21	c	iu	1B|21		
憕	U+6195	cing1B|21	c	ing	1B|21		
憖	U+6196	jen3B|22	j	en	3B|22		
憗	U+6197	jen3B|22	j	en	3B|22		
憘	U+6198	heai2A|35	h	eai	2A|35		
憙	U+6199	heai2A|35	h	eai	2A|35		
憚	U+619A	dan3B|22	d	an	3B|22		
憛	U+619B	tam1B|21	t	am	1B|21		
憜	U+619C	do3B|22	d	o	3B|22		
憝	U+619D	doei3B|22	d	oei	3B|22		
憞	U+619E	doei3B|22	d	oei	3B|22		
憟	U+619F	suk4Aa|5	s	uk	4Aa|5		
憠	U+61A0	kyut4Ab|3	k	yut	4Ab|3		
憡	U+61A1	cak4Ab|3	c	ak	4Ab|3		
憢	U+61A2	hiu1A|55	h	iu	1A|55		
憣	U+61A3	fan1A|55	f	an	1A|55		
憤	U+61A4	fen2B|13	f	en	2B|13		
憥	U+61A5	lou1B|21	l	ou	1B|21		
憦	U+61A6	lou3B|22	l	ou	3B|22		
憧	U+61A7	cung1A|55	c	ung	1A|55		
憨	U+61A8	hem1A|55	h	em	1A|55		
憩	U+61A9	heai3A|33	h	eai	3A|33		
憪	U+61AA	han1B|21	h	an	1B|21		
憪	U+61AA	han3B|22	h	an	3B|22		
憫	U+61AB	men2B|13	m	en	2B|13		
憬	U+61AC	ging2A|35	g	ing	2A|35		
憭	U+61AD	liu2B|13	l	iu	2B|13		
憭	U+61AD	liu1B|21	l	iu	1B|21		
憮	U+61AE	mou2B|13	m	ou	2B|13		
憯	U+61AF	cam2A|35	c	am	2A|35		
憰	U+61B0	kyut4Ab|3	k	yut	4Ab|3		
憱	U+61B1	cuk4Aa|5	c	uk	4Aa|5		
憲	U+61B2	hin3A|33	h	in	3A|33		
憳	U+61B3	tam2A|35	t	am	2A|35		
憴	U+61B4	sing1B|21	s	ing	1B|21		
憵	U+61B5	pik4Aa|5	p	ik	4Aa|5		
憶	U+61B6	jik4Aa|5	j	ik	4Aa|5		
憷	U+61B7	co2A|35	c	o	2A|35		
憷	U+61B7	zoet4Aa|5	z	oet	4Aa|5		
憸	U+61B8	cim1A|55	c	im	1A|55		
憹	U+61B9	nou1B|21	n	ou	1B|21		
憹	U+61B9	lou1B|21	l	ou	1B|21		
憹	U+61B9	nou2B|13	n	ou	2B|13		
憹	U+61B9	lou2B|13	l	ou	2B|13		
憹	U+61B9	nung1B|21	n	ung	1B|21		
憹	U+61B9	lung1B|21	l	ung	1B|21		
憺	U+61BA	dam3B|22	d	am	3B|22		
憻	U+61BB	tan2A|35	t	an	2A|35		
憼	U+61BC	ging2A|35	g	ing	2A|35		
憼	U+61BC	ging3A|33	g	ing	3A|33		
憽	U+61BD	sung1A|55	s	ung	1A|55		
憾	U+61BE	hem3B|22	h	em	3B|22		
憿	U+61BF	giu1A|55	g	iu	1A|55		
懀	U+61C0	wei3A|33	w	ei	3A|33		
懁	U+61C1	hyun1A|55	h	yun	1A|55		
懂	U+61C2	dung2A|35	d	ung	2A|35		
懃	U+61C3	ken1B|21	k	en	1B|21		
懄	U+61C4	ken1B|21	k	en	1B|21		
懅	U+61C5	koei1B|21	k	oei	1B|21		
懆	U+61C6	cou2A|35	c	ou	2A|35		
懇	U+61C7	hen2A|35	h	en	2A|35		
懈	U+61C8	hai3B|22	h	ai	3B|22		
懈	U+61C8	hai2B|13	h	ai	2B|13		
懈	U+61C8	gai3A|33	g	ai	3A|33		
應	U+61C9	jing3A|33	j	ing	3A|33		
應	U+61C9	jing1A|55	j	ing	1A|55		
懊	U+61CA	ou3A|33		ou	3A|33		
懊	U+61CA	ngou3A|33	ng	ou	3A|33		
懋	U+61CB	meu3B|22	m	eu	3B|22		
懌	U+61CC	jik4B|2	j	ik	4B|2		
懍	U+61CD	lem2B|13	l	em	2B|13		
懎	U+61CE	sik4Aa|5	s	ik	4Aa|5		
懏	U+61CF	zoen3A|33	z	oen	3A|33		
懐	U+61D0	wai1B|21	w	ai	1B|21		
懑	U+61D1	mun3B|22	m	un	3B|22		
懒	U+61D2	lan2B|13	l	an	2B|13		
懓	U+61D3	oi3A|33		oi	3A|33		
懓	U+61D3	ngoi3A|33	ng	oi	3A|33		
懔	U+61D4	lem2B|13	l	em	2B|13		
懕	U+61D5	jim1A|55	j	im	1A|55		
懖	U+61D6	kut4Ab|3	k	ut	4Ab|3		
懖	U+61D6	kwut4Ab|3	kw	ut	4Ab|3		
懗	U+61D7	ha3A|33	h	a	3A|33		
懘	U+61D8	cit4Ab|3	c	it	4Ab|3		
懙	U+61D9	jyu2B|13	j	yu	2B|13		
懙	U+61D9	jyu1B|21	j	yu	1B|21		
懚	U+61DA	jen3A|33	j	en	3A|33		
懛	U+61DB	dai1A|55	d	ai	1A|55		
懜	U+61DC	mung2A|35	m	ung	2A|35		
懜	U+61DC	mung1B|21	m	ung	1B|21		
懜	U+61DC	mung2B|13	m	ung	2B|13		
懝	U+61DD	ngoi3B|22	ng	oi	3B|22		
懝	U+61DD	oi3B|22		oi	3B|22		
懞	U+61DE	mung1B|21	m	ung	1B|21		
懟	U+61DF	doei3B|22	d	oei	3B|22		
懟	U+61DF	zoei3B|22	z	oei	3B|22		
懠	U+61E0	cei1B|21	c	ei	1B|21		
懡	U+61E1	mo2B|13	m	o	2B|13		
懢	U+61E2	lam1B|21	l	am	1B|21		
懣	U+61E3	mun3B|22	m	un	3B|22		
懤	U+61E4	ceu1B|21	c	eu	1B|21		
懥	U+61E5	zi3A|33	z	i	3A|33		
懦	U+61E6	no3B|22	n	o	3B|22		
懦	U+61E6	lo3B|22	l	o	3B|22		
懧	U+61E7	no3B|22	n	o	3B|22		
懧	U+61E7	lo3B|22	l	o	3B|22		
懨	U+61E8	jim1A|55	j	im	1A|55		
懩	U+61E9	jeong2B|13	j	eong	2B|13		
懪	U+61EA	bok4B|2	b	ok	4B|2		
懫	U+61EB	zi3A|33	z	i	3A|33		
懬	U+61EC	kwong3A|33	kw	ong	3A|33		
懬	U+61EC	kong3A|33	k	ong	3A|33		
懭	U+61ED	kong3A|33	k	ong	3A|33		
懭	U+61ED	kwong3A|33	kw	ong	3A|33		
懮	U+61EE	jeu1A|55	j	eu	1A|55		
懮	U+61EE	jeu2A|35	j	eu	2A|35		
懯	U+61EF	fu1A|55	f	u	1A|55		
懰	U+61F0	leu1B|21	l	eu	1B|21		
懱	U+61F1	mit4B|2	m	it	4B|2		
懲	U+61F2	cing1B|21	c	ing	1B|21		
懳	U+61F3	wei3B|22	w	ei	3B|22		
懴	U+61F4	cam3A|33	c	am	3A|33		
懵	U+61F5	mung2A|35	m	ung	2A|35		
懵	U+61F5	mung1B|21	m	ung	1B|21		
懵	U+61F5	mung2B|13	m	ung	2B|13		
懶	U+61F6	lan2B|13	l	an	2B|13		
懷	U+61F7	wai1B|21	w	ai	1B|21		
懸	U+61F8	jyun1B|21	j	yun	1B|21		
懹	U+61F9	jeong3B|22	j	eong	3B|22		
懺	U+61FA	cam3A|33	c	am	3A|33		
懻	U+61FB	geai3A|33	g	eai	3A|33		
懼	U+61FC	goei3B|22	g	oei	3B|22		
懽	U+61FD	fun1A|55	f	un	1A|55		
懾	U+61FE	sip4Ab|3	s	ip	4Ab|3		
懾	U+61FE	zip4Ab|3	z	ip	4Ab|3		
懿	U+61FF	ji3A|33	j	i	3A|33		
戀	U+6200	lyun2A|35	l	yun	2A|35		
戀	U+6200	lyun2B|13	l	yun	2B|13		
戁	U+6201	nan2B|13	n	an	2B|13		
戁	U+6201	lan2B|13	l	an	2B|13		
戂	U+6202	meai1B|21	m	eai	1B|21		
戃	U+6203	tong2A|35	t	ong	2A|35		
戃	U+6203	cong2A|35	c	ong	2A|35		
戄	U+6204	fok4Ab|3	f	ok	4Ab|3		
戅	U+6205	zong3A|33	z	ong	3A|33		
戅	U+6205	ngong3B|22	ng	ong	3B|22		
戅	U+6205	ong3B|22		ong	3B|22		
戆	U+6206	zong3A|33	z	ong	3A|33		
戆	U+6206	ngong3B|22	ng	ong	3B|22		
戆	U+6206	ong3B|22		ong	3B|22		
戇	U+6207	zong3A|33	z	ong	3A|33		
戇	U+6207	ngong3B|22	ng	ong	3B|22		
戇	U+6207	ong3B|22		ong	3B|22		
戈	U+6208	gwo1A|55	gw	o	1A|55		
戈	U+6208	go1A|55	g	o	1A|55		
戉	U+6209	jyut4B|2	j	yut	4B|2		
戊	U+620A	mou3B|22	m	ou	3B|22		
戋	U+620B	zin1A|55	z	in	1A|55		
戌	U+620C	soet4Aa|5	s	oet	4Aa|5		
戍	U+620D	syu3A|33	s	yu	3A|33		
戎	U+620E	jung1B|21	j	ung	1B|21		
戏	U+620F	heai3A|33	h	eai	3A|33		
戏	U+620F	heai1A|55	h	eai	1A|55		
戏	U+620F	fu1A|55	f	u	1A|55		
成	U+6210	sing1B|21	s	ing	1B|21		
成	U+6210	seang1B|21	s	eang	1B|21		
成	U+6210	cing1B|21	c	ing	1B|21		
我	U+6211	ngo2B|13	ng	o	2B|13		
我	U+6211	o2B|13		o	2B|13		
戒	U+6212	gai3A|33	g	ai	3A|33		
戓	U+6213	gep4Ab|3	g	ep	4Ab|3		
戔	U+6214	zin1A|55	z	in	1A|55		
戕	U+6215	ceong1B|21	c	eong	1B|21		
或	U+6216	wak4B|2	w	ak	4B|2		
或	U+6216	wik4B|2	w	ik	4B|2		
戗	U+6217	ceong1A|55	c	eong	1A|55		
戗	U+6217	ceong3A|33	c	eong	3A|33		
战	U+6218	zin3A|33	z	in	3A|33		
戙	U+6219	dung3B|22	d	ung	3B|22		
戙	U+6219	dung2A|35	d	ung	2A|35		
戙	U+6219	dong3B|22	d	ong	3B|22		
戚	U+621A	cik4Aa|5	c	ik	4Aa|5		
戚	U+621A	cuk4Aa|5	c	uk	4Aa|5		
戛	U+621B	gat4Ab|3	g	at	4Ab|3		
戜	U+621C	dit4B|2	d	it	4B|2		
戝	U+621D	cak4Ab|3	c	ak	4Ab|3		
戞	U+621E	gat4Ab|3	g	at	4Ab|3		
戟	U+621F	gik4Aa|5	g	ik	4Aa|5		
戠	U+6220	zik4Aa|5	z	ik	4Aa|5		
戡	U+6221	hem1A|55	h	em	1A|55		
戢	U+6222	cep4Aa|5	c	ep	4Aa|5		
戣	U+6223	kwei1B|21	kw	ei	1B|21		
戤	U+6224	koi3A|33	k	oi	3A|33		
戥	U+6225	deng2A|35	d	eng	2A|35		
戥	U+6225	deng3B|22	d	eng	3B|22		
戦	U+6226	zin3A|33	z	in	3A|33		
戧	U+6227	ceong1A|55	c	eong	1A|55		
